0,3,6,9,0,bo2.jpg,bo13.jpg,0,|[[-650, 197], [323, -268], [-48, 374]]|,|[[-325, -282], [709, 208], [68, -70]]|,|[[-650, 197], [323, -268], [-48, 374]]|,|[[-325, -282], [709, 208], [68, -70]]|,|[[-650, 197], [323, -268], [-48, 374]]|,|[[-325, -282], [709, 208], [68, -70]]|
0,1,0,2,7,bo7.jpg,bo3.jpg,1,|[[-546, 432], [-378, -152], [560, 353]]|,|[[258, -310], [-356, 164], [141, 96]]|,|[[-546, 432], [-378, -152], [560, 353]]|,|[[-155, 174], [-693, -176], [520, -249]]|,|[[-546, 432], [-378, -152], [560, 353]]|,|[[-155, 174], [-693, -176], [520, -249]]|
0,10,-1,5,4,bo10.jpg,bo11.jpg,2,|[[-448, 16], [357, -51], [-9, -333]]|,|[[438, 300], [749, -235], [110, 406]]|,|[[-448, 16], [357, -51], [-9, -333]]|,|[[438, 300], [749, -235], [110, 406]]|,|[[-448, 16], [357, -51], [-9, -333]]|,|[[438, 300], [749, -235], [110, 406]]|
0,4,-1,4,8,bo20.jpg,bo14.jpg,3,|[[-10, -326], [3, 275], [283, 222]]|,|[[704, 356], [-663, 361], [536, 31]]|,|[[39, -190], [-284, 136], [-746, -349]]|,|[[704, 356], [-663, 361], [536, 31]]|,|[[39, -190], [-284, 136], [-746, -349]]|,|[[704, 356], [-663, 361], [536, 31]]|
0,-1,-1,6,6,bo9.jpg,bo19.jpg,4,|[[1, -43], [-142, -289], [-607, -59]]|,|[[186, 418], [487, -156], [-568, 338]]|,|[[1, -43], [-142, -289], [-607, -59]]|,|[[186, 418], [487, -156], [-568, 338]]|,|[[1, -43], [-142, -289], [-607, -59]]|,|[[186, 418], [487, -156], [-568, 338]]|
0,5,8,3,2,bo5.jpg,bo12.jpg,5,|[[357, 346], [135, -213], [-465, 363]]|,|[[669, -151], [-39, 166], [334, 37]]|,|[[357, 346], [135, -213], [-465, 363]]|,|[[669, -151], [-39, 166], [334, 37]]|,|[[671, -16], [186, -140], [-207, 73]]|,|[[-553, 76], [445, -334], [92, 212]]|
0,7,9,8,3,bo18.jpg,bo8.jpg,6,|[[-315, 84], [-603, -326], [297, 374]]|,|[[-52, 431], [635, -282], [-44, -278]]|,|[[-315, 84], [-603, -326], [297, 374]]|,|[[256, -284], [716, 155], [-741, 432]]|,|[[-585, -77], [28, -18], [628, 210]]|,|[[342, 38], [37, 304], [-249, 300]]|
0,2,-1,0,9,bo4.jpg,bo17.jpg,7,|[[210, -27], [708, -204], [-591, -243]]|,|[[630, 103], [-411, 396], [343, 275]]|,|[[210, -27], [708, -204], [-591, -243]]|,|[[630, 103], [-411, 396], [343, 275]]|,|[[570, -285], [-314, -227], [137, 395]]|,|[[-297, 252], [-690, 100], [490, 56]]|
0,11,-1,7,5,bo1.jpg,bo6.jpg,8,|[[141, 416], [-249, 240], [-564, 1]]|,|[[726, 305], [4, -53], [728, -48]]|,|[[-439, -215], [-77, 274], [-565, 404]]|,|[[726, 305], [4, -53], [728, -48]]|,|[[-491, -69], [332, 415], [-636, 349]]|,|[[276, -194], [-13, 36], [590, -216]]|
0,-1,-1,1,1,bo15.jpg,bo16.jpg,9,|[[105, 26], [-636, -1], [-487, -271]]|,|[[713, 431], [291, 346], [-615, 415]]|,|[[105, 26], [-636, -1], [-487, -271]]|,|[[713, 431], [291, 346], [-615, 415]]|,|[[-630, 166], [559, -16], [712, -275]]|,|[[-237, -100], [207, 197], [703, 354]]|
